DateTime,NOx,NO2,CO,C6H6,T
2004-03-15 16:00:00,143.0,99.0,2.3,11.5,24.4
2004-03-15 17:00:00,156.0,110.0,2.8,14.8,23.8
2004-03-15 18:00:00,314.0,162.0,6.1,32.1,22.5
2004-03-15 19:00:00,404.0,187.0,8.0,39.2,20.4
2004-03-15 20:00:00,320.0,165.0,6.5,31.0,18.3
2004-03-15 21:00:00,256.0,145.0,4.2,19.9,16.7
2004-03-15 22:00:00,193.0,125.0,3.2,15.3,15.7
2004-03-15 23:00:00,89.0,101.0,1.4,6.9,15.3
2004-03-16 00:00:00,127.0,103.0,2.1,11.1,14.1
2004-03-16 01:00:00,79.0,88.0,1.2,5.4,14.8
2004-03-16 02:00:00,43.0,61.0,0.8,2.8,14.8
2004-03-16 05:00:00,38.0,52.0,0.6,2.0,12.8
2004-03-16 06:00:00,82.0,64.0,0.9,3.5,11.2
2004-03-16 07:00:00,99.0,70.0,1.3,5.1,11.0
2004-03-16 08:00:00,263.0,97.0,3.4,16.2,11.7
2004-03-16 09:00:00,229.0,95.0,3.7,19.7,13.6
2004-03-16 10:00:00,396.0,150.0,5.3,25.1,17.8
2004-03-16 11:00:00,314.0,162.0,4.1,20.0,21.4
2004-03-16 12:00:00,217.0,154.0,3.3,18.3,24.4
2004-03-16 13:00:00,252.0,161.0,4.0,22.3,25.3
2004-03-16 14:00:00,263.0,161.0,3.8,20.4,25.8
2004-03-16 15:00:00,180.0,128.0,2.8,14.6,27.0
2004-03-16 16:00:00,184.0,129.0,2.9,16.6,28.2
2004-03-16 17:00:00,190.0,133.0,2.9,15.8,28.0
2004-03-16 18:00:00,184.0,139.0,3.4,17.8,23.9
2004-03-16 19:00:00,181.0,137.0,3.9,19.1,21.3
2004-03-16 20:00:00,166.0,143.0,3.2,15.8,20.4
2004-03-16 21:00:00,317.0,177.0,5.1,24.9,19.0
2004-03-16 22:00:00,184.0,138.0,2.6,13.5,17.9
2004-03-16 23:00:00,130.0,117.0,1.7,9.1,16.7
2004-03-17 00:00:00,132.0,107.0,1.7,8.6,15.5
2004-03-17 01:00:00,95.0,90.0,1.2,5.4,15.5
2004-03-17 02:00:00,70.0,79.0,0.9,4.1,14.1
2004-03-17 05:00:00,28.0,40.0,0.5,1.6,11.8
2004-03-17 06:00:00,46.0,53.0,0.5,1.9,11.9
2004-03-17 07:00:00,160.0,84.0,1.6,7.5,9.9
2004-03-17 08:00:00,320.0,108.0,4.1,21.4,11.1
2004-03-17 09:00:00,377.0,127.0,6.6,36.4,14.1
2004-03-17 10:00:00,280.0,134.0,4.3,21.3,17.7
2004-03-17 11:00:00,221.0,135.0,2.9,15.4,21.1
2004-03-17 12:00:00,210.0,142.0,2.5,12.5,24.3
2004-03-17 13:00:00,204.0,153.0,2.8,15.1,25.6
2004-03-17 14:00:00,161.0,123.0,2.6,13.7,25.9
2004-03-17 15:00:00,135.0,104.0,2.0,10.4,26.8
2004-03-17 16:00:00,186.0,129.0,2.9,15.2,29.3
2004-03-17 17:00:00,147.0,114.0,2.5,12.3,28.5
2004-03-17 18:00:00,299.0,158.0,5.0,27.0,25.9
2004-03-17 19:00:00,411.0,194.0,7.6,38.4,23.1
2004-03-17 20:00:00,347.0,182.0,6.7,35.1,20.5
2004-03-17 21:00:00,336.0,180.0,5.7,27.2,19.1
2004-03-17 22:00:00,202.0,136.0,2.8,15.0,17.2
2004-03-17 23:00:00,178.0,127.0,2.6,15.7,16.0
2004-03-18 00:00:00,154.0,116.0,2.3,13.0,14.8
2004-03-18 01:00:00,92.0,107.0,1.4,8.1,14.3
2004-03-18 02:00:00,61.0,88.0,1.0,5.5,14.8
2004-03-18 05:00:00,37.0,57.0,0.6,2.5,12.0
2004-03-18 06:00:00,68.0,71.0,0.7,3.0,10.9
2004-03-18 07:00:00,139.0,85.0,1.5,7.7,10.6
2004-03-18 08:00:00,339.0,124.0,4.7,23.3,11.5
2004-03-18 09:00:00,421.0,151.0,6.6,35.8,14.3
2004-03-18 10:00:00,349.0,150.0,4.5,21.3,17.8
2004-03-18 11:00:00,224.0,152.0,2.8,14.3,20.8
2004-03-18 12:00:00,171.0,139.0,2.2,12.5,23.8
2004-03-18 13:00:00,149.0,133.0,2.2,12.2,24.2
2004-03-18 14:00:00,137.0,126.0,2.3,13.1,25.2
2004-03-18 15:00:00,149.0,128.0,2.2,14.4,27.0
2004-03-18 16:00:00,172.0,169.0,2.8,16.8,27.1
2004-03-18 17:00:00,166.0,149.0,2.7,14.5,25.8
2004-03-18 18:00:00,214.0,156.0,3.7,21.5,23.0
2004-03-18 19:00:00,280.0,168.0,5.1,26.4,20.7
2004-03-18 20:00:00,276.0,176.0,5.1,26.0,18.6
2004-03-18 21:00:00,178.0,135.0,3.2,14.1,16.0
2004-03-18 22:00:00,129.0,121.0,2.1,10.3,14.5
2004-03-18 23:00:00,95.0,99.0,1.7,8.3,13.1
2004-03-19 00:00:00,126.0,106.0,2.0,8.9,12.0
2004-03-19 01:00:00,103.0,96.0,1.6,6.6,11.9
2004-03-19 02:00:00,48.0,63.0,0.9,3.6,12.5
2004-03-19 05:00:00,18.0,28.0,0.5,1.3,12.5
2004-03-19 06:00:00,56.0,61.0,0.7,2.3,12.3
2004-03-19 07:00:00,115.0,99.0,1.5,6.7,12.4
2004-03-19 08:00:00,320.0,157.0,4.8,22.8,13.0
2004-03-19 09:00:00,357.0,166.0,6.2,31.3,13.6
2004-03-19 10:00:00,253.0,149.0,4.0,19.2,13.9
2004-03-19 11:00:00,218.0,135.0,3.3,16.4,14.5
2004-03-19 12:00:00,192.0,127.0,2.8,14.0,15.5
2004-03-19 13:00:00,176.0,122.0,3.0,15.3,16.1
2004-03-19 14:00:00,198.0,135.0,3.3,16.7,16.3
2004-03-19 15:00:00,212.0,139.0,3.5,19.0,16.4
2004-03-19 16:00:00,249.0,147.0,4.0,19.4,16.1
2004-03-19 17:00:00,270.0,158.0,4.6,20.9,16.0
2004-03-19 18:00:00,231.0,146.0,4.1,20.2,15.8
2004-03-19 19:00:00,251.0,144.0,4.5,21.7,15.5
2004-03-19 20:00:00,210.0,138.0,3.9,19.8,15.4
2004-03-19 21:00:00,249.0,143.0,4.0,16.7,15.2
2004-03-19 22:00:00,143.0,116.0,2.2,9.1,14.7
2004-03-19 23:00:00,127.0,109.0,2.1,8.3,14.2
2004-03-20 00:00:00,104.0,92.0,1.7,5.8,13.8
2004-03-20 01:00:00,86.0,83.0,1.6,5.2,13.9
2004-03-20 02:00:00,74.0,81.0,1.3,4.1,13.9
2004-03-20 05:00:00,42.0,53.0,0.8,3.1,13.6
2004-03-20 06:00:00,63.0,67.0,0.8,2.5,13.6
2004-03-20 07:00:00,115.0,91.0,1.1,4.3,13.5
2004-03-20 08:00:00,170.0,113.0,2.1,8.9,13.8
2004-03-20 09:00:00,147.0,102.0,2.4,10.5,14.6
2004-03-20 10:00:00,166.0,107.0,2.6,12.5,15.0
2004-03-20 11:00:00,195.0,113.0,2.8,12.3,15.4
2004-03-20 12:00:00,182.0,108.0,2.6,11.7,16.3
2004-03-20 13:00:00,168.0,105.0,2.6,11.7,17.1
2004-03-20 14:00:00,125.0,93.0,2.1,9.3,19.0
2004-03-20 15:00:00,95.0,87.0,1.7,7.6,19.5
2004-03-20 16:00:00,79.0,76.0,1.6,6.7,19.5
2004-03-20 17:00:00,119.0,94.0,2.1,9.7,19.1
2004-03-20 18:00:00,142.0,110.0,2.3,12.4,18.5
2004-03-20 19:00:00,215.0,136.0,3.5,16.6,17.4
2004-03-20 20:00:00,229.0,139.0,3.9,16.4,17.1
2004-03-20 21:00:00,206.0,125.0,3.3,13.7,16.4
2004-03-20 22:00:00,147.0,111.0,2.3,9.9,16.2
2004-03-20 23:00:00,122.0,97.0,2.1,8.9,15.9
2004-03-21 00:00:00,175.0,107.0,2.8,10.6,15.7
2004-03-21 01:00:00,133.0,90.0,2.1,7.4,15.1
2004-03-21 02:00:00,89.0,84.0,1.6,6.2,15.6
2004-03-21 05:00:00,55.0,66.0,1.1,4.0,14.9
2004-03-21 06:00:00,24.0,36.0,0.7,2.1,14.5
2004-03-21 07:00:00,72.0,62.0,0.8,3.6,14.2
2004-03-21 08:00:00,122.0,91.0,1.2,4.4,14.5
2004-03-21 09:00:00,111.0,89.0,1.4,5.4,15.3
2004-03-21 10:00:00,123.0,93.0,1.7,7.1,16.3
2004-03-21 11:00:00,106.0,81.0,1.8,7.3,18.9
2004-03-21 12:00:00,103.0,82.0,1.8,7.6,19.4
2004-03-21 13:00:00,102.0,80.0,1.9,6.8,20.8
2004-03-21 14:00:00,48.0,48.0,1.3,4.6,21.4
2004-03-21 15:00:00,63.0,61.0,1.6,8.4,21.2
2004-03-21 16:00:00,98.0,89.0,1.9,6.9,20.3
2004-03-21 17:00:00,132.0,105.0,2.3,9.0,19.4
2004-03-21 18:00:00,173.0,116.0,3.8,15.1,18.5
2004-03-21 19:00:00,185.0,119.0,3.5,12.6,17.8
2004-03-21 20:00:00,266.0,144.0,4.3,15.1,17.9
2004-03-21 21:00:00,188.0,123.0,2.8,9.9,17.4
2004-03-21 22:00:00,122.0,105.0,1.9,8.0,17.0
2004-03-21 23:00:00,112.0,93.0,1.9,7.9,16.4
2004-03-22 00:00:00,93.0,86.0,1.7,6.1,16.1
2004-03-22 01:00:00,74.0,76.0,1.5,5.1,15.8
2004-03-22 02:00:00,23.0,33.0,0.6,1.7,16.3
2004-03-22 05:00:00,15.0,23.0,0.3,0.7,16.5
2004-03-22 06:00:00,41.0,46.0,0.6,2.0,16.4
2004-03-22 07:00:00,86.0,76.0,1.2,5.1,15.7
2004-03-22 08:00:00,226.0,116.0,3.6,17.7,15.8
2004-03-22 09:00:00,214.0,115.0,3.7,18.4,17.4
2004-03-22 10:00:00,115.0,83.0,1.8,6.9,17.9
2004-03-22 11:00:00,124.0,87.0,1.6,7.3,18.5
2004-03-22 12:00:00,122.0,90.0,1.9,9.6,21.0
2004-03-22 13:00:00,107.0,87.0,2.0,10.4,21.3
2004-03-22 14:00:00,133.0,99.0,2.2,11.2,21.3
2004-03-22 15:00:00,130.0,99.0,2.1,10.7,21.3
2004-03-22 16:00:00,150.0,101.0,2.3,11.6,21.3
2004-03-22 17:00:00,138.0,103.0,2.6,12.4,20.2
2004-03-22 18:00:00,213.0,129.0,3.8,18.3,17.0
2004-03-22 19:00:00,232.0,143.0,4.4,21.0,15.6
2004-03-22 20:00:00,238.0,146.0,4.5,21.0,15.3
2004-03-22 21:00:00,180.0,124.0,3.3,14.5,14.5
2004-03-22 22:00:00,128.0,113.0,2.0,8.4,13.9
2004-03-22 23:00:00,65.0,80.0,1.1,4.3,14.5
2004-03-23 00:00:00,53.0,72.0,0.9,3.8,13.8
2004-03-23 01:00:00,47.0,64.0,0.8,2.7,14.0
2004-03-23 02:00:00,51.0,70.0,0.7,2.5,13.0
2004-03-23 05:00:00,13.0,22.0,0.3,0.6,8.8
2004-03-23 06:00:00,33.0,47.0,0.5,1.8,9.6
2004-03-23 07:00:00,103.0,88.0,1.1,4.6,9.8
2004-03-23 08:00:00,224.0,130.0,3.0,14.2,10.0
2004-03-23 09:00:00,244.0,132.0,3.8,21.0,11.2
2004-03-23 10:00:00,237.0,132.0,3.4,16.2,12.0
2004-03-23 11:00:00,220.0,131.0,3.0,15.5,12.8
2004-03-23 12:00:00,207.0,129.0,2.7,13.4,13.1
2004-03-23 13:00:00,208.0,132.0,3.5,16.9,13.8
2004-03-23 14:00:00,160.0,110.0,2.8,12.4,16.0
2004-03-23 15:00:00,131.0,99.0,1.9,10.1,14.1
2004-03-23 16:00:00,128.0,100.0,2.0,8.7,12.0
2004-03-23 17:00:00,176.0,122.0,3.0,13.8,13.6
2004-03-23 18:00:00,107.0,97.0,1.9,9.3,13.7
2004-03-23 19:00:00,131.0,112.0,2.7,13.0,11.7
2004-03-23 20:00:00,166.0,128.0,3.3,14.3,11.5
2004-03-23 21:00:00,89.0,101.0,1.7,7.6,12.6
2004-03-23 22:00:00,81.0,96.0,1.3,5.3,12.0
2004-03-23 23:00:00,78.0,86.0,1.3,5.4,11.0
2004-03-24 00:00:00,70.0,85.0,1.2,4.9,11.1
2004-03-24 01:00:00,76.0,79.0,1.1,4.6,10.8
2004-03-24 02:00:00,43.0,61.0,0.9,2.7,11.3
2004-03-24 05:00:00,34.0,54.0,0.6,1.2,10.9
2004-03-24 06:00:00,43.0,57.0,0.8,1.7,10.8
2004-03-24 07:00:00,79.0,75.0,1.2,4.8,10.4
2004-03-24 08:00:00,174.0,97.0,3.1,13.8,11.0
2004-03-24 09:00:00,235.0,110.0,4.4,23.7,11.2
2004-03-24 10:00:00,218.0,113.0,3.4,14.2,12.1
2004-03-24 11:00:00,136.0,88.0,1.7,8.0,15.1
2004-03-24 12:00:00,117.0,85.0,1.5,6.7,15.6
2004-03-24 13:00:00,119.0,96.0,1.7,8.7,16.9
2004-03-24 14:00:00,126.0,106.0,2.2,10.8,16.6
2004-03-24 16:00:00,197.0,126.0,2.7,11.4,9.6
2004-03-24 17:00:00,195.0,130.0,2.8,13.4,11.7
2004-03-24 18:00:00,156.0,111.0,2.7,12.0,10.7
2004-03-24 19:00:00,247.0,134.0,4.5,20.2,10.7
2004-03-24 20:00:00,190.0,136.0,3.5,14.4,10.8
2004-03-24 21:00:00,169.0,125.0,2.6,9.4,10.3
2004-03-24 22:00:00,118.0,108.0,1.7,5.9,10.1
2004-03-24 23:00:00,81.0,87.0,1.3,4.5,10.4
2004-03-25 00:00:00,80.0,89.0,1.3,4.5,10.3
2004-03-25 01:00:00,42.0,58.0,1.0,2.5,11.0
2004-03-25 02:00:00,38.0,54.0,0.7,1.8,9.1
2004-03-25 04:00:00,18.0,28.0,0.5,0.9,9.3
2004-03-25 05:00:00,12.0,20.0,0.5,0.6,9.9
2004-03-25 06:00:00,43.0,51.0,0.6,1.4,7.6
2004-03-25 07:00:00,84.0,82.0,1.1,3.8,8.1
2004-03-25 08:00:00,184.0,112.0,2.7,11.6,8.7
2004-03-25 09:00:00,202.0,119.0,3.5,17.8,8.6
2004-03-25 10:00:00,133.0,99.0,2.3,8.8,9.7
2004-03-25 11:00:00,130.0,98.0,1.6,6.8,11.0
2004-03-25 12:00:00,106.0,88.0,1.3,5.9,13.6
2004-03-25 13:00:00,132.0,96.0,2.0,8.9,14.2
2004-03-25 14:00:00,106.0,81.0,1.9,8.2,14.2
2004-03-25 15:00:00,125.0,92.0,1.9,8.6,16.0
2004-03-25 16:00:00,138.0,105.0,2.2,10.1,17.7
2004-03-25 17:00:00,120.0,88.0,2.0,9.4,17.1
2004-03-25 18:00:00,158.0,103.0,2.9,14.6,14.9
2004-03-25 19:00:00,253.0,141.0,5.2,24.6,13.4
2004-03-25 20:00:00,231.0,133.0,4.6,21.6,12.6
2004-03-25 21:00:00,150.0,119.0,2.5,10.3,12.2
2004-03-25 22:00:00,99.0,106.0,1.5,5.7,10.6
2004-03-25 23:00:00,75.0,92.0,1.2,4.5,9.9
2004-03-26 00:00:00,93.0,97.0,1.7,5.5,9.6
2004-03-26 01:00:00,79.0,91.0,1.4,4.8,9.7
2004-03-26 02:00:00,67.0,83.0,1.2,3.6,9.4
2004-03-26 04:00:00,45.0,59.0,0.7,2.2,8.0
2004-03-26 05:00:00,72.0,73.0,0.8,3.0,7.7
2004-03-26 06:00:00,103.0,78.0,0.9,4.0,8.0
2004-03-26 07:00:00,132.0,90.0,1.6,6.7,8.5
2004-03-26 08:00:00,239.0,110.0,3.4,16.7,9.8
2004-03-26 09:00:00,275.0,114.0,3.8,19.3,11.2
2004-03-26 10:00:00,232.0,119.0,3.1,14.8,14.8
2004-03-26 11:00:00,180.0,121.0,2.7,13.4,16.8
2004-03-26 12:00:00,112.0,97.0,2.0,11.0,19.2
2004-03-26 13:00:00,116.0,99.0,2.3,12.5,19.1
2004-03-26 14:00:00,103.0,85.0,1.9,8.4,16.3
2004-03-26 15:00:00,89.0,75.0,1.3,5.3,14.2
2004-03-26 16:00:00,112.0,87.0,1.9,8.8,13.4
2004-03-26 17:00:00,127.0,102.0,2.3,11.2,14.2
2004-03-26 18:00:00,125.0,105.0,2.4,11.6,12.1
2004-03-26 19:00:00,120.0,98.0,2.7,12.4,10.4
2004-03-26 20:00:00,120.0,93.0,2.6,10.6,10.0
2004-03-26 21:00:00,99.0,91.0,1.5,6.0,9.8
2004-03-26 22:00:00,79.0,85.0,1.2,4.6,9.7
2004-03-26 23:00:00,66.0,74.0,1.1,4.1,9.9
2004-03-27 00:00:00,94.0,87.0,1.5,5.2,9.4
2004-03-27 01:00:00,70.0,79.0,1.0,3.2,8.6
2004-03-27 02:00:00,75.0,78.0,1.2,4.5,8.1
2004-03-27 05:00:00,32.0,48.0,0.8,1.9,8.2
2004-03-27 06:00:00,54.0,59.0,0.9,2.4,6.3
2004-03-27 07:00:00,68.0,65.0,1.1,3.3,7.2
2004-03-27 08:00:00,98.0,71.0,1.5,6.7,7.2
2004-03-27 09:00:00,128.0,84.0,1.8,8.5,11.1
2004-03-27 10:00:00,129.0,93.0,2.1,9.7,15.5
2004-03-27 11:00:00,130.0,99.0,2.1,9.4,17.8
2004-03-27 12:00:00,111.0,93.0,1.9,9.0,17.6
2004-03-27 13:00:00,106.0,96.0,2.1,10.0,19.1
2004-03-27 14:00:00,137.0,114.0,2.5,12.6,17.7
2004-03-27 15:00:00,113.0,101.0,1.9,7.6,17.8
2004-03-27 16:00:00,122.0,108.0,2.2,11.8,18.7
2004-03-27 17:00:00,137.0,117.0,2.3,11.2,17.1
2004-03-27 18:00:00,165.0,125.0,2.7,12.4,15.8
2004-03-27 19:00:00,196.0,133.0,3.0,12.9,14.7
2004-03-27 20:00:00,174.0,119.0,2.8,12.2,13.6
2004-03-27 21:00:00,140.0,107.0,2.2,8.8,12.5
2004-03-27 22:00:00,102.0,96.0,1.6,6.8,11.8
2004-03-27 23:00:00,130.0,105.0,2.1,8.6,10.9
2004-03-28 00:00:00,121.0,102.0,2.3,8.9,10.9
2004-03-28 01:00:00,111.0,97.0,2.3,8.3,10.3
2004-03-28 02:00:00,87.0,79.0,1.7,6.3,9.3
2004-03-28 04:00:00,77.0,69.0,1.3,5.1,8.3
2004-03-28 05:00:00,39.0,52.0,0.8,2.6,9.6
2004-03-28 06:00:00,77.0,62.0,1.1,3.6,7.7
2004-03-28 07:00:00,91.0,69.0,1.4,3.6,7.4
2004-03-28 08:00:00,105.0,75.0,1.3,4.7,9.7
2004-03-28 09:00:00,133.0,83.0,1.9,7.5,12.5
2004-03-28 10:00:00,128.0,94.0,2.3,9.0,16.8
2004-03-28 11:00:00,126.0,96.0,2.3,9.5,19.2
2004-03-28 12:00:00,92.0,86.0,1.8,7.7,21.3
2004-03-28 13:00:00,66.0,72.0,1.4,5.7,21.2
2004-03-28 14:00:00,50.0,53.0,1.0,3.8,18.6
2004-03-28 15:00:00,70.0,65.0,1.4,4.8,18.0
2004-03-28 16:00:00,73.0,70.0,1.3,4.3,18.2
2004-03-28 17:00:00,77.0,75.0,1.3,4.1,17.0
2004-03-28 18:00:00,86.0,86.0,1.4,4.7,15.6
2004-03-28 19:00:00,93.0,94.0,1.9,6.2,14.1
2004-03-28 20:00:00,105.0,103.0,1.8,5.5,13.4
2004-03-28 21:00:00,67.0,81.0,1.1,3.3,12.3
2004-03-28 22:00:00,63.0,80.0,1.1,3.2,11.9
2004-03-28 23:00:00,63.0,77.0,1.1,2.9,11.5
2004-03-29 00:00:00,46.0,58.0,0.9,2.2,10.6
2004-03-29 01:00:00,21.0,31.0,0.6,1.3,10.7
2004-03-29 02:00:00,22.0,38.0,0.5,1.1,10.4
2004-03-29 04:00:00,39.0,59.0,0.6,1.2,11.3
2004-03-29 05:00:00,55.0,70.0,0.7,1.7,10.1
2004-03-29 06:00:00,76.0,75.0,0.9,2.9,9.9
2004-03-29 07:00:00,181.0,103.0,2.9,14.3,8.1
2004-03-29 08:00:00,259.0,134.0,4.1,19.7,10.9
2004-03-29 09:00:00,118.0,98.0,1.5,5.5,11.8
2004-03-29 10:00:00,119.0,97.0,1.5,5.6,13.9
2004-03-29 11:00:00,123.0,98.0,1.5,5.8,15.6
2004-03-29 12:00:00,92.0,78.0,1.4,5.5,16.5
2004-03-29 13:00:00,91.0,83.0,1.6,6.5,17.5
2004-03-29 14:00:00,103.0,92.0,1.5,5.5,17.9
2004-03-29 15:00:00,102.0,81.0,1.4,5.2,18.2
2004-03-29 16:00:00,94.0,90.0,1.5,5.8,18.0
2004-03-29 17:00:00,98.0,95.0,1.9,7.9,17.0
2004-03-29 18:00:00,126.0,114.0,2.5,10.2,16.1
2004-03-29 19:00:00,108.0,106.0,2.1,8.2,14.5
