,CO,NO2,O3
231,2.4,102.0,1218.0
232,2.6,107.0,1341.0
233,2.8,113.0,1406.0
234,2.6,108.0,1422.0
235,2.6,105.0,1373.0
236,2.1,93.0,1153.0
237,1.7,87.0,927.0
238,1.6,76.0,766.0
239,2.1,94.0,941.0
240,2.3,110.0,1146.0
241,3.5,136.0,1417.0
242,3.9,139.0,1442.0
243,3.3,125.0,1323.0
244,2.3,111.0,1125.0
245,2.1,97.0,1036.0
246,2.8,107.0,1202.0
247,2.1,90.0,1054.0
248,1.6,84.0,903.0
249,1.6,-200.0,885.0
250,-200.0,87.0,818.0
251,1.1,66.0,700.0
252,0.7,36.0,580.0
253,0.8,62.0,815.0
254,1.2,91.0,1035.0
255,1.4,89.0,1067.0
256,1.7,93.0,1114.0
257,1.8,81.0,1000.0
258,1.8,82.0,906.0
259,1.9,80.0,822.0
260,1.3,48.0,610.0
261,1.6,61.0,657.0
262,1.9,89.0,647.0
263,2.3,105.0,762.0
264,3.8,116.0,1122.0
265,3.5,119.0,1130.0
266,4.3,144.0,1637.0
267,2.8,123.0,1272.0
268,1.9,105.0,1098.0
269,1.9,93.0,1066.0
270,1.7,86.0,909.0
271,1.5,76.0,818.0
272,0.6,33.0,472.0
273,0.4,-200.0,394.0
274,-200.0,27.0,396.0
275,0.3,23.0,378.0
276,0.6,46.0,432.0
277,1.2,76.0,699.0
278,3.6,116.0,1252.0
279,3.7,115.0,1237.0
280,1.8,83.0,772.0
281,1.6,87.0,766.0
282,1.9,90.0,829.0
283,2.0,87.0,783.0
284,2.2,99.0,822.0
285,2.1,99.0,813.0
286,2.3,101.0,813.0
287,2.6,103.0,850.0
288,3.8,129.0,1276.0
289,4.4,143.0,1401.0
290,4.5,146.0,1356.0
291,3.3,124.0,1243.0
292,2.0,113.0,1083.0
293,1.1,80.0,795.0
294,0.9,72.0,735.0
295,0.8,64.0,684.0
296,0.7,70.0,714.0
297,0.5,-200.0,456.0
298,-200.0,31.0,401.0
299,0.3,22.0,361.0
300,0.5,47.0,418.0
301,1.1,88.0,616.0
302,3.0,130.0,1089.0
303,3.8,132.0,1329.0
304,3.4,132.0,1311.0
305,3.0,131.0,1236.0
306,2.7,129.0,1147.0
307,3.5,132.0,1301.0
308,2.8,110.0,1097.0
309,1.9,99.0,900.0
310,2.0,100.0,781.0
311,3.0,122.0,1013.0
312,1.9,97.0,790.0
313,2.7,112.0,1059.0
314,3.3,128.0,1205.0
315,1.7,101.0,975.0
316,1.3,96.0,896.0
317,1.3,86.0,911.0
318,1.2,85.0,902.0
319,1.1,79.0,832.0
320,0.9,61.0,715.0
321,0.6,-200.0,683.0
322,-200.0,66.0,721.0
323,0.6,54.0,648.0
324,0.8,57.0,612.0
325,1.2,75.0,800.0
326,3.1,97.0,1173.0
327,4.4,110.0,1519.0
328,3.4,113.0,1287.0
329,1.7,88.0,966.0
330,1.5,85.0,828.0
331,1.7,96.0,825.0
332,2.2,106.0,872.0
333,-200.0,91.0,680.0
334,2.7,126.0,1002.0
335,2.8,130.0,1159.0
336,2.7,111.0,979.0
337,4.5,134.0,1311.0
338,3.5,136.0,1071.0
339,2.6,125.0,899.0
340,1.7,108.0,766.0
341,1.3,87.0,589.0
342,1.3,89.0,631.0
343,1.0,58.0,479.0
344,0.7,54.0,479.0
345,0.7,-200.0,417.0
346,0.5,28.0,378.0
347,0.5,20.0,344.0
348,0.6,51.0,413.0
349,1.1,82.0,605.0
350,2.7,112.0,991.0
351,3.5,119.0,1175.0
352,2.3,99.0,923.0
353,1.6,98.0,829.0
354,1.3,88.0,733.0
355,2.0,96.0,819.0
356,1.9,81.0,723.0
357,1.9,92.0,786.0
358,2.2,105.0,850.0
359,2.0,88.0,820.0
360,2.9,103.0,991.0
361,5.2,141.0,1454.0
362,4.6,133.0,1488.0
363,2.5,119.0,1205.0
364,1.5,106.0,909.0
365,1.2,92.0,769.0
366,1.7,97.0,835.0
367,1.4,91.0,793.0
368,1.2,83.0,733.0
369,0.6,-200.0,502.0
370,0.7,59.0,562.0
371,0.8,73.0,832.0
372,0.9,78.0,924.0
373,1.6,90.0,974.0
374,3.4,110.0,1307.0
375,3.8,114.0,1481.0
376,3.1,119.0,1405.0
377,2.7,121.0,1195.0
378,2.0,97.0,868.0
379,2.3,99.0,874.0
380,1.9,85.0,738.0
381,1.3,75.0,550.0
382,1.9,87.0,777.0
383,2.3,102.0,966.0
384,2.4,105.0,990.0
385,2.7,98.0,944.0
386,2.6,93.0,962.0
387,1.5,91.0,778.0
388,1.2,85.0,690.0
389,1.1,74.0,644.0
390,1.5,87.0,753.0
391,1.0,79.0,646.0
392,1.2,78.0,838.0
393,1.1,-200.0,851.0
394,-200.0,63.0,801.0
395,0.8,48.0,665.0
396,0.9,59.0,717.0
397,1.1,65.0,795.0
398,1.5,71.0,936.0
399,1.8,84.0,1076.0
400,2.1,93.0,1016.0
401,2.1,99.0,834.0
402,1.9,93.0,756.0
403,2.1,96.0,766.0
404,2.5,114.0,905.0
405,1.9,101.0,765.0
406,2.2,108.0,830.0
407,2.3,117.0,853.0
408,2.7,125.0,981.0
409,3.0,133.0,1286.0
410,2.8,119.0,1244.0
411,2.2,107.0,1056.0
412,1.6,96.0,1003.0
413,2.1,105.0,1245.0
414,2.3,102.0,1200.0
415,2.3,97.0,1188.0
416,1.7,79.0,1070.0
417,2.2,-200.0,1075.0
418,1.3,69.0,895.0
419,0.8,52.0,755.0
420,1.1,62.0,806.0
421,1.4,69.0,836.0
422,1.3,75.0,897.0
423,1.9,83.0,1073.0
424,2.3,94.0,1088.0
425,2.3,96.0,1036.0
426,1.8,86.0,768.0
427,1.4,72.0,587.0
428,1.0,53.0,452.0
429,1.4,65.0,470.0
430,1.3,70.0,502.0
431,1.3,75.0,516.0
432,1.4,86.0,555.0
433,1.9,94.0,671.0
434,1.8,103.0,788.0
435,1.1,81.0,538.0
436,1.1,80.0,544.0
437,1.1,77.0,500.0
438,0.9,58.0,417.0
439,0.6,31.0,341.0
440,0.5,38.0,352.0
441,0.7,-200.0,397.0
442,0.6,59.0,502.0
443,0.7,70.0,648.0
444,0.9,75.0,760.0
445,2.9,103.0,1183.0
446,4.1,134.0,1431.0
447,1.5,98.0,705.0
448,1.5,97.0,637.0
449,1.5,98.0,658.0
450,1.4,78.0,546.0
451,1.6,83.0,561.0
452,1.5,92.0,532.0
453,1.4,81.0,535.0
454,1.5,90.0,525.0
455,1.9,95.0,603.0
456,2.5,114.0,802.0
457,2.1,106.0,796.0
458,1.6,99.0,689.0
459,1.2,90.0,553.0
460,1.1,82.0,509.0
461,1.0,74.0,455.0
462,1.0,76.0,425.0
463,0.7,66.0,436.0
464,0.7,73.0,618.0
465,0.8,-200.0,747.0
466,-200.0,69.0,693.0
467,0.7,71.0,691.0
468,1.1,98.0,1013.0
469,2.6,115.0,1311.0
470,4.0,130.0,1675.0
471,4.2,150.0,1689.0
472,4.7,159.0,1688.0
473,3.9,146.0,1548.0
474,3.7,138.0,1490.0
475,3.4,128.0,1354.0
476,2.2,97.0,1014.0
477,1.9,91.0,831.0
478,1.6,81.0,699.0
479,2.1,99.0,926.0
480,2.2,101.0,928.0
481,2.7,106.0,1038.0
482,2.4,102.0,1035.0
483,1.3,84.0,789.0
484,1.2,81.0,692.0
485,1.5,91.0,764.0
486,1.3,82.0,639.0
487,1.0,64.0,541.0
488,0.9,70.0,678.0
489,0.5,-200.0,381.0
490,0.5,26.0,343.0
491,0.6,58.0,436.0
492,1.0,93.0,688.0
493,3.1,110.0,1438.0
494,4.1,115.0,1489.0
495,2.2,125.0,1093.0
496,1.7,118.0,965.0
497,1.9,109.0,1004.0
498,2.9,123.0,1166.0
499,2.2,114.0,991.0
500,2.6,114.0,1054.0
501,3.1,119.0,1192.0
502,2.3,111.0,1055.0
503,2.4,103.0,1048.0
504,2.8,103.0,1073.0
505,2.7,107.0,1068.0
506,2.3,105.0,1019.0
507,1.5,91.0,833.0
508,1.4,79.0,759.0
509,1.2,79.0,749.0
510,1.6,86.0,978.0
511,1.2,70.0,944.0
512,1.1,55.0,891.0
513,0.9,-200.0,849.0
514,0.7,49.0,790.0
515,0.9,50.0,852.0
516,1.7,67.0,987.0
517,4.2,94.0,1435.0
518,6.2,119.0,1798.0
519,4.6,139.0,1677.0
520,2.8,113.0,1282.0
521,1.6,88.0,871.0
522,1.7,73.0,759.0
523,1.7,73.0,790.0
524,1.7,72.0,-200.0
525,1.9,81.0,-200.0
526,2.3,93.0,-200.0
527,3.3,106.0,1187.0
528,4.2,132.0,1399.0
529,5.5,164.0,1644.0
530,4.9,161.0,1599.0
531,2.5,124.0,1223.0
532,2.0,113.0,1200.0
533,2.0,103.0,1118.0
534,2.0,104.0,1067.0
535,1.3,93.0,1048.0
536,1.0,60.0,718.0
537,0.9,-200.0,797.0
538,-200.0,52.0,749.0
539,0.7,66.0,737.0
540,1.1,82.0,903.0
541,2.6,109.0,1159.0
542,3.9,114.0,1365.0
543,5.0,139.0,1510.0
544,3.3,127.0,1386.0
545,2.9,127.0,1368.0
546,3.1,135.0,1347.0
547,3.0,130.0,1242.0
548,2.7,126.0,1138.0
549,2.7,121.0,1080.0
550,2.6,122.0,1002.0
551,3.7,138.0,1212.0
552,4.5,165.0,1486.0
553,4.7,154.0,1567.0
554,5.5,168.0,1723.0
555,3.0,146.0,1399.0
556,1.9,124.0,1291.0
557,2.3,124.0,1443.0
558,1.6,106.0,1270.0
559,1.3,88.0,1110.0
560,1.2,83.0,1060.0
561,0.9,-200.0,965.0
562,0.8,74.0,891.0
563,0.8,64.0,905.0
564,0.9,69.0,899.0
565,2.0,91.0,1136.0
566,3.0,96.0,1391.0
567,3.1,106.0,1460.0
568,-200.0,-200.0,1410.0
569,-200.0,-200.0,1372.0
570,-200.0,-200.0,1266.0
571,-200.0,-200.0,1014.0
572,-200.0,-200.0,870.0
573,-200.0,-200.0,905.0
574,-200.0,-200.0,991.0
575,-200.0,-200.0,1076.0
576,-200.0,-200.0,1249.0
577,-200.0,-200.0,1548.0
578,-200.0,-200.0,1300.0
579,-200.0,-200.0,1029.0
580,-200.0,-200.0,1207.0
581,-200.0,-200.0,1047.0
582,-200.0,-200.0,923.0
583,-200.0,-200.0,862.0
584,-200.0,-200.0,752.0
585,-200.0,-200.0,791.0
586,-200.0,-200.0,697.0
587,-200.0,-200.0,664.0
588,-200.0,-200.0,891.0
589,-200.0,-200.0,813.0
590,-200.0,-200.0,828.0
591,-200.0,-200.0,1057.0
592,-200.0,-200.0,1011.0
593,-200.0,-200.0,932.0
594,-200.0,-200.0,881.0
595,-200.0,-200.0,646.0
596,-200.0,-200.0,536.0
597,-200.0,-200.0,746.0
598,-200.0,-200.0,833.0
599,-200.0,-200.0,802.0
600,-200.0,-200.0,838.0
601,-200.0,-200.0,1051.0
602,-200.0,-200.0,1041.0
603,-200.0,-200.0,646.0
604,-200.0,-200.0,769.0
605,-200.0,-200.0,785.0
606,-200.0,-200.0,613.0
607,-200.0,-200.0,430.0
608,-200.0,-200.0,485.0
609,-200.0,-200.0,467.0
610,-200.0,-200.0,436.0
611,-200.0,-200.0,682.0
612,-200.0,-200.0,927.0
613,-200.0,-200.0,1192.0
614,-200.0,-200.0,1615.0
615,-200.0,-200.0,1505.0
616,3.1,124.0,1451.0
617,3.0,121.0,1409.0
618,3.2,114.0,1434.0
619,3.1,114.0,1457.0
620,2.5,106.0,1325.0
621,2.1,89.0,1120.0
622,2.0,82.0,931.0
623,3.2,111.0,1212.0
624,4.1,132.0,1353.0
625,3.9,121.0,1359.0
626,3.1,116.0,1273.0
627,2.0,100.0,1079.0
628,1.7,89.0,973.0
629,1.6,92.0,951.0
630,1.0,71.0,714.0
631,0.8,51.0,579.0
632,0.5,39.0,542.0
633,0.5,-200.0,562.0
634,0.5,35.0,526.0
635,0.8,64.0,659.0
636,1.7,94.0,1012.0
637,4.5,134.0,1564.0
638,6.2,129.0,1806.0
639,4.4,125.0,1604.0
640,2.9,107.0,1288.0
641,1.6,78.0,931.0
642,2.6,91.0,1162.0
643,2.9,116.0,1064.0
644,2.5,131.0,913.0
645,1.9,113.0,684.0
646,1.9,98.0,710.0
647,2.7,116.0,923.0
648,3.0,120.0,1006.0
649,3.3,126.0,1083.0
650,3.2,126.0,1161.0
651,1.8,90.0,800.0
652,1.3,81.0,647.0
653,1.1,74.0,649.0
654,0.9,67.0,575.0
655,0.7,46.0,455.0
656,0.4,30.0,392.0
657,0.3,-200.0,340.0
658,0.3,19.0,320.0
659,0.3,32.0,331.0
660,0.8,61.0,426.0
661,2.8,111.0,830.0
662,3.1,102.0,1006.0
663,2.3,116.0,820.0
664,1.6,96.0,737.0
665,1.5,97.0,790.0
666,1.6,110.0,760.0
667,1.8,103.0,767.0
668,1.4,79.0,626.0
669,1.9,104.0,776.0
670,1.2,69.0,589.0
671,2.3,96.0,872.0
672,3.3,121.0,996.0
673,3.1,129.0,1033.0
674,3.3,116.0,982.0
675,1.2,71.0,518.0
676,1.3,85.0,631.0
677,1.9,101.0,879.0
678,1.4,97.0,839.0
679,1.5,89.0,876.0
680,1.1,72.0,827.0
681,0.8,-200.0,781.0
682,-200.0,57.0,699.0
683,0.8,62.0,723.0
684,1.1,64.0,797.0
685,2.6,80.0,1138.0
686,5.1,118.0,1605.0
687,4.2,130.0,1569.0
688,2.6,113.0,1319.0
689,2.4,112.0,1198.0
690,2.1,96.0,958.0
691,2.6,125.0,1068.0
692,2.8,128.0,1010.0
693,2.5,101.0,928.0
694,1.9,95.0,816.0
695,3.6,138.0,1216.0
696,4.6,154.0,1463.0
697,6.3,171.0,1791.0
698,4.3,136.0,1425.0
699,1.6,93.0,922.0
700,1.4,99.0,971.0
701,2.0,106.0,-200.0
702,2.4,109.0,-200.0
703,1.8,97.0,-200.0
704,1.0,83.0,-200.0
705,1.0,-200.0,-200.0
706,1.0,79.0,-200.0
707,0.9,84.0,-200.0
708,1.5,86.0,-200.0
709,2.6,111.0,-200.0
710,2.9,117.0,-200.0
711,2.7,122.0,-200.0
712,2.4,119.0,-200.0
713,2.6,121.0,-200.0
714,4.1,127.0,-200.0
715,4.3,135.0,-200.0
716,2.2,119.0,-200.0
717,3.4,137.0,-200.0
718,3.6,139.0,-200.0
719,2.5,117.0,-200.0
720,2.8,127.0,-200.0
721,3.4,137.0,-200.0
722,3.0,127.0,-200.0
723,2.1,107.0,-200.0
724,2.4,102.0,-200.0
725,2.3,95.0,1151.0
726,1.3,79.0,975.0
727,1.7,78.0,1034.0
728,1.7,75.0,980.0
729,1.0,-200.0,825.0
730,0.8,52.0,807.0
731,1.0,55.0,842.0
732,1.4,65.0,950.0
733,1.7,72.0,1024.0
734,2.0,76.0,1098.0
735,2.0,84.0,1011.0
736,1.9,90.0,931.0
737,2.1,89.0,811.0
738,1.8,87.0,756.0
739,1.5,88.0,607.0
740,1.3,81.0,498.0
741,1.4,89.0,540.0
742,1.5,91.0,544.0
743,1.7,104.0,620.0
744,2.0,111.0,740.0
745,2.5,129.0,921.0
746,2.4,133.0,1033.0
747,2.0,115.0,984.0
748,2.9,125.0,1193.0
749,2.5,117.0,1219.0
750,1.4,84.0,913.0
751,1.2,63.0,750.0
752,1.0,68.0,772.0
753,1.0,-200.0,712.0
754,-200.0,52.0,712.0
755,0.7,49.0,727.0
756,0.8,49.0,746.0
757,0.9,52.0,733.0
758,1.1,58.0,727.0
759,1.0,51.0,642.0
760,1.6,77.0,810.0
761,1.8,90.0,851.0
762,2.6,118.0,911.0
763,1.1,70.0,611.0
764,0.6,35.0,368.0
765,0.9,46.0,369.0
766,1.0,58.0,394.0
767,1.2,61.0,415.0
768,1.4,80.0,469.0
769,2.0,93.0,607.0
770,1.1,78.0,498.0
771,1.1,76.0,481.0
772,1.1,74.0,465.0
773,1.1,81.0,478.0
774,0.7,58.0,366.0
775,0.6,59.0,332.0
776,0.7,54.0,346.0
777,0.6,-200.0,350.0
778,0.3,25.0,274.0
779,0.3,26.0,263.0
780,0.4,49.0,314.0
781,0.5,53.0,367.0
782,0.6,57.0,432.0
783,0.8,73.0,536.0
784,1.0,78.0,555.0
785,1.3,93.0,677.0
786,1.1,71.0,557.0
787,0.6,56.0,421.0
788,0.7,60.0,423.0
789,1.2,77.0,519.0
790,1.4,82.0,533.0
791,1.2,77.0,537.0
792,1.3,91.0,612.0
793,1.8,93.0,697.0
794,1.2,82.0,573.0
795,0.8,74.0,489.0
796,0.8,68.0,474.0
797,0.8,65.0,455.0
798,0.7,58.0,433.0
799,0.5,36.0,376.0
800,0.3,29.0,360.0
801,0.4,-200.0,384.0
802,0.3,28.0,363.0
803,0.7,68.0,525.0
804,1.6,99.0,873.0
805,3.9,130.0,1399.0
806,4.5,128.0,1501.0
807,2.7,120.0,1186.0
808,1.6,93.0,911.0
809,1.6,96.0,919.0
810,1.6,84.0,791.0
811,1.5,87.0,751.0
812,1.8,87.0,805.0
813,2.1,103.0,966.0
814,1.7,88.0,869.0
815,3.0,118.0,1196.0
816,4.6,134.0,1523.0
817,5.0,144.0,1579.0
818,3.5,129.0,1370.0
819,2.1,108.0,1204.0
820,2.1,104.0,1201.0
821,1.5,90.0,1122.0
822,1.1,74.0,1003.0
823,0.9,73.0,918.0
824,0.7,60.0,836.0
825,0.4,-200.0,759.0
826,-200.0,57.0,755.0
827,0.9,62.0,820.0
828,1.6,71.0,998.0
829,3.9,94.0,1403.0
830,5.0,99.0,1641.0
831,4.3,119.0,1534.0
832,2.7,103.0,1257.0
833,2.1,95.0,1026.0
834,2.1,95.0,993.0
835,-200.0,-200.0,919.0
836,-200.0,-200.0,1032.0
837,-200.0,-200.0,1077.0
838,-200.0,-200.0,883.0
839,-200.0,-200.0,1036.0
840,-200.0,-200.0,1144.0
841,-200.0,-200.0,1212.0
842,-200.0,-200.0,1486.0
843,-200.0,-200.0,1440.0
844,-200.0,-200.0,1242.0
845,-200.0,-200.0,1089.0
846,-200.0,-200.0,993.0
847,-200.0,-200.0,862.0
848,-200.0,-200.0,815.0
849,-200.0,-200.0,714.0
850,-200.0,-200.0,682.0
851,-200.0,-200.0,744.0
852,-200.0,-200.0,1050.0
853,-200.0,-200.0,1522.0
854,-200.0,-200.0,1623.0
855,3.9,114.0,1638.0
856,3.8,127.0,1633.0
857,3.8,135.0,1654.0
858,3.9,135.0,1559.0
859,3.5,120.0,1374.0
860,4.0,129.0,1418.0
861,3.0,114.0,1228.0
862,3.1,129.0,1293.0
863,5.2,149.0,1642.0
864,5.9,149.0,1895.0
865,7.3,158.0,2086.0
866,6.1,148.0,1898.0
867,4.6,134.0,1758.0
868,2.5,111.0,1284.0
869,2.2,106.0,1075.0
870,2.0,108.0,1084.0
871,1.9,93.0,1049.0
872,1.6,83.0,1021.0
873,1.0,-200.0,778.0
874,1.0,69.0,948.0
875,1.2,77.0,988.0
876,2.0,87.0,1184.0
877,4.5,109.0,1600.0
878,4.1,116.0,1495.0
879,2.6,105.0,1188.0
880,2.3,106.0,1166.0
881,2.6,108.0,1219.0
882,2.4,100.0,1128.0
883,4.3,149.0,1373.0
884,4.6,148.0,1415.0
885,4.0,126.0,1302.0
886,4.7,140.0,1308.0
887,5.7,142.0,1449.0
888,5.2,141.0,1385.0
889,6.4,149.0,1492.0
890,6.0,140.0,1380.0
891,3.4,117.0,1167.0
892,2.7,103.0,1095.0
893,3.1,99.0,1105.0
894,2.6,100.0,1051.0
895,2.2,88.0,1009.0
896,1.9,83.0,972.0
897,-200.0,-200.0,884.0
898,-200.0,-200.0,661.0
899,-200.0,-200.0,774.0
900,-200.0,-200.0,868.0
901,-200.0,-200.0,965.0
902,-200.0,-200.0,985.0
903,-200.0,-200.0,963.0
904,-200.0,-200.0,1069.0
905,-200.0,-200.0,864.0
906,-200.0,-200.0,641.0
907,-200.0,-200.0,740.0
908,-200.0,-200.0,532.0
909,-200.0,-200.0,572.0
910,-200.0,-200.0,630.0
911,-200.0,-200.0,608.0
912,-200.0,-200.0,644.0
913,-200.0,-200.0,833.0
914,-200.0,-200.0,923.0
915,-200.0,-200.0,790.0
916,-200.0,-200.0,961.0
917,-200.0,-200.0,1177.0
918,-200.0,-200.0,943.0
919,-200.0,-200.0,742.0
920,-200.0,-200.0,705.0
921,-200.0,-200.0,663.0
922,-200.0,-200.0,536.0
923,-200.0,-200.0,441.0
924,-200.0,-200.0,477.0
925,-200.0,-200.0,506.0
926,-200.0,-200.0,608.0
927,-200.0,-200.0,663.0
928,-200.0,-200.0,912.0
929,-200.0,-200.0,963.0
930,-200.0,-200.0,803.0
931,-200.0,-200.0,564.0
932,-200.0,-200.0,501.0
933,-200.0,-200.0,701.0
934,-200.0,-200.0,783.0
935,-200.0,-200.0,784.0
936,-200.0,-200.0,861.0
937,-200.0,-200.0,1156.0
938,-200.0,-200.0,1047.0
939,-200.0,-200.0,1034.0
940,-200.0,-200.0,962.0
941,-200.0,-200.0,1100.0
942,-200.0,-200.0,1047.0
943,-200.0,-200.0,874.0
944,-200.0,-200.0,747.0
