,Unnamed: 0,CO,NO2,O3,AQI,AQI_Dominant,AQI_Category,label,viterbi
36,41,2.7,143.0,0.1167,212.2691489361702,O3,5,0,0
37,42,2.1,113.0,0.0959,176.53157894736842,O3,4,0,0
38,43,2.5,116.0,0.0983,182.72105263157894,O3,4,0,0
39,44,2.7,123.0,0.1061,201.10531914893616,O3,5,0,0
40,45,2.9,126.0,0.1139,209.32021276595745,O3,5,0,0
41,46,2.8,120.0,0.1112,206.47659574468085,O3,5,0,0
42,47,2.4,119.0,0.0994,185.55789473684212,O3,4,0,0
43,48,3.9,149.0,0.141,237.86170212765956,O3,5,0,0
44,49,3.7,145.0,0.1448,241.86382978723407,O3,5,0,0
45,50,6.6,170.0,0.1887,288.09893617021277,O3,5,0,0
46,51,4.4,149.0,0.1627,260.7159574468085,O3,5,0,0
47,52,3.5,139.0,0.1491,246.39255319148936,O3,5,0,0
48,53,5.4,134.0,0.1657,263.8755319148936,O3,5,0,0
49,54,2.7,113.0,0.1285,224.6968085106383,O3,5,0,0
50,55,1.9,97.0,0.1144,209.8468085106383,O3,5,0,0
51,56,1.6,82.0,0.1043,198.19473684210527,O3,4,0,0
52,59,1.0,65.0,0.0819,139.14999999999998,O3,3,0,0
53,60,1.2,60.0,0.0835,144.75,O3,3,0,0
54,61,1.5,77.0,0.094,171.63157894736844,O3,4,0,0
55,62,2.7,96.0,0.1192,214.90212765957446,O3,5,0,0
56,63,3.7,119.0,0.1411,237.96702127659574,O3,5,0,0
57,64,3.2,126.0,0.1465,243.65425531914892,O3,5,0,0
58,65,4.1,158.0,0.1583,256.081914893617,O3,5,0,0
59,66,3.6,161.0,0.1387,235.43936170212766,O3,5,0,0
60,67,2.8,124.0,0.1101,205.318085106383,O3,5,0,0
61,68,2.0,102.0,0.085,150.0,O3,3,0,0
62,69,2.0,116.0,0.0947,173.4368421052632,O3,4,0,0
63,70,2.5,124.0,0.1078,202.89574468085107,O3,5,0,0
64,71,2.3,125.0,0.1084,203.5276595744681,O3,5,0,0
65,72,3.2,148.0,0.1395,236.28191489361703,O3,5,0,0
66,73,4.2,165.0,0.1612,259.13617021276593,O3,5,0,0
67,74,4.2,161.0,0.1697,268.0882978723404,O3,5,0,0
68,75,4.2,159.0,0.1886,287.9936170212766,O3,5,0,0
69,76,3.1,143.0,0.1624,260.4,O3,5,0,0
70,77,2.6,130.0,0.1536,251.131914893617,O3,5,0,0
71,78,2.9,129.0,0.1535,251.02659574468083,O3,5,0,0
72,79,2.8,119.0,0.153,250.5,O3,5,0,0
73,80,2.5,104.0,0.1337,230.17340425531916,O3,5,0,0
74,83,1.2,70.0,0.0929,168.79473684210527,O3,4,0,0
75,84,1.0,63.0,0.0872,154.09473684210528,O3,4,0,0
76,85,0.9,67.0,0.0853,64.84782608695653,NO2,2,0,0
77,86,1.4,84.0,0.0959,176.53157894736842,O3,4,0,0
78,87,1.6,83.0,0.1093,204.47553191489362,O3,5,0,0
79,88,2.2,98.0,0.1225,218.37765957446808,O3,5,0,0
80,89,2.8,114.0,0.1355,232.06914893617022,O3,5,0,0
81,90,2.8,119.0,0.1262,222.27446808510638,O3,5,0,0
82,91,2.0,104.0,0.098,181.94736842105266,O3,4,0,0
83,92,1.8,102.0,0.0872,154.09473684210528,O3,4,0,0
84,93,1.9,107.0,0.09,161.31578947368422,O3,4,0,0
85,94,3.0,129.0,0.1099,205.10744680851064,O3,5,0,0
86,95,2.9,128.0,0.1206,216.37659574468086,O3,5,0,0
87,96,2.5,121.0,0.1262,222.27446808510638,O3,5,0,0
88,97,4.6,157.0,0.1698,268.1936170212766,O3,5,0,0
89,98,5.9,173.0,0.1905,289.99468085106383,O3,5,0,0
90,99,3.4,146.0,0.1648,262.92765957446807,O3,5,0,0
91,100,2.1,121.0,0.1423,239.2308510638298,O3,5,0,0
92,101,2.2,119.0,0.1349,231.43723404255317,O3,5,0,0
93,102,1.8,99.0,0.125,221.01063829787233,O3,5,0,0
94,103,1.8,93.0,0.1174,213.00638297872342,O3,5,0,0
95,104,1.8,88.0,0.1149,210.37340425531914,O3,5,0,0
96,107,1.0,74.0,0.101,189.6842105263158,O3,4,0,0
97,108,1.4,80.0,0.1083,203.4223404255319,O3,5,0,0
98,109,2.2,89.0,0.1235,219.43085106382978,O3,5,0,0
99,110,5.5,114.0,0.168,266.29787234042556,O3,5,0,0
100,111,8.1,149.0,0.2184,319.3787234042553,O3,6,0,0
101,112,5.8,157.0,0.1973,297.1563829787234,O3,5,0,0
102,113,4.2,155.0,0.1798,278.7255319148936,O3,5,0,0
103,114,3.1,134.0,0.1522,249.65744680851063,O3,5,0,0
104,115,2.9,119.0,0.1404,237.22978723404253,O3,5,0,0
105,116,2.9,111.0,0.1263,222.37978723404254,O3,5,0,0
106,117,2.5,104.0,0.1137,209.1095744680851,O3,5,0,0
107,118,2.3,99.0,0.1068,201.84255319148937,O3,5,0,0
108,119,2.8,110.0,0.1252,221.22127659574468,O3,5,0,0
109,120,6.1,162.0,0.1843,283.4648936170213,O3,5,0,0
110,121,8.0,187.0,0.2122,312.84893617021277,O3,6,0,0
111,122,6.5,165.0,0.1992,299.1574468085106,O3,5,0,0
112,123,4.2,145.0,0.1707,269.1414893617021,O3,5,0,0
113,124,3.2,125.0,0.1494,246.70851063829787,O3,5,0,0
114,125,1.4,101.0,0.1164,211.9531914893617,O3,5,0,0
115,126,2.1,103.0,0.1272,223.3276595744681,O3,5,0,0
116,127,1.2,88.0,0.104,197.42105263157896,O3,4,0,0
117,128,0.8,61.0,0.0867,152.80526315789476,O3,4,0,0
118,131,0.6,52.0,0.0793,130.04999999999998,O3,3,0,0
119,132,0.9,64.0,0.087,153.57894736842104,O3,4,0,0
120,133,1.3,70.0,0.093,169.05263157894737,O3,4,0,0
121,134,3.4,97.0,0.1407,237.54574468085104,O3,5,0,0
122,135,3.7,95.0,0.1507,248.0776595744681,O3,5,0,0
123,136,5.3,150.0,0.1843,283.4648936170213,O3,5,0,0
124,137,4.1,162.0,0.1729,271.45851063829787,O3,5,0,0
125,138,3.3,154.0,0.1583,256.081914893617,O3,5,0,0
126,139,4.0,161.0,0.1671,265.35,O3,5,0,0
127,140,3.8,161.0,0.1491,246.39255319148936,O3,5,0,0
128,141,2.8,128.0,0.124,219.95744680851064,O3,5,0,0
129,142,2.9,129.0,0.1313,227.64574468085107,O3,5,0,0
130,143,2.9,133.0,0.1363,232.91170212765957,O3,5,0,0
131,144,3.4,139.0,0.1296,225.85531914893616,O3,5,0,0
132,145,3.9,137.0,0.1432,240.17872340425532,O3,5,0,0
133,146,3.2,143.0,0.1432,240.17872340425532,O3,5,0,0
134,147,5.1,177.0,0.2034,303.58085106382975,O3,6,0,0
135,148,2.6,138.0,0.1602,258.08297872340427,O3,5,0,0
136,149,1.7,117.0,0.1362,232.80638297872338,O3,5,0,0
137,150,1.7,107.0,0.1314,227.75106382978723,O3,5,0,0
138,151,1.2,90.0,0.1114,206.6872340425532,O3,5,0,0
139,152,0.9,79.0,0.0992,185.0421052631579,O3,4,0,0
140,155,0.5,40.0,0.0667,89.21999999999997,O3,2,0,0
141,156,0.5,53.0,0.0733,109.05000000000003,O3,3,0,0
142,157,1.6,84.0,0.1052,82.95652173913044,NO2,2,0,0
143,158,4.1,108.0,0.1534,250.9212765957447,O3,5,0,0
144,159,6.6,127.0,0.1931,292.73297872340424,O3,5,0,0
145,160,4.3,134.0,0.1734,271.9851063829787,O3,5,0,0
146,161,2.9,135.0,0.1595,257.34574468085106,O3,5,0,0
147,162,2.5,142.0,0.149,246.28723404255317,O3,5,0,0
148,163,2.8,153.0,0.1508,248.18297872340423,O3,5,0,0
149,164,2.6,123.0,0.1334,229.85744680851062,O3,5,0,0
150,165,2.0,104.0,0.1045,198.71052631578948,O3,4,0,0
151,166,2.9,129.0,0.1221,217.9563829787234,O3,5,0,0
152,167,2.5,114.0,0.1069,201.94787234042553,O3,5,0,0
153,168,5.0,158.0,0.1569,254.60744680851064,O3,5,0,0
154,169,7.6,194.0,0.2306,332.2276595744681,O3,6,0,0
155,170,6.7,182.0,0.2359,337.8095744680851,O3,6,0,0
156,171,5.7,180.0,0.205,305.2659574468085,O3,6,0,0
157,172,2.8,136.0,0.1727,271.2478723404255,O3,5,0,0
158,173,2.6,127.0,0.1705,268.9308510638298,O3,5,0,0
159,174,2.3,116.0,0.1551,252.71170212765955,O3,5,0,0
160,175,1.4,107.0,0.124,219.95744680851064,O3,5,0,0
161,176,1.0,88.0,0.1115,206.79255319148936,O3,5,0,0
162,179,0.6,57.0,0.0828,142.29999999999998,O3,3,0,0
163,180,0.7,71.0,0.0893,159.5105263157895,O3,4,0,0
164,181,1.5,85.0,0.1075,202.57978723404256,O3,5,0,0
165,182,4.7,124.0,0.161,258.9255319148936,O3,5,0,0
166,183,6.6,151.0,0.2051,305.3712765957447,O3,6,0,0
167,184,4.5,150.0,0.1819,280.9372340425532,O3,5,0,0
168,185,2.8,152.0,0.1568,254.50212765957446,O3,5,0,0
169,186,2.2,139.0,0.1374,234.07021276595745,O3,5,0,0
170,187,2.2,133.0,0.1268,222.9063829787234,O3,5,0,0
171,188,2.3,126.0,0.1144,209.8468085106383,O3,5,0,0
172,189,2.2,128.0,0.1109,206.16063829787234,O3,5,0,0
173,190,2.8,169.0,0.1347,231.22659574468082,O3,5,0,0
174,191,2.7,149.0,0.1206,216.37659574468086,O3,5,0,0
175,192,3.7,156.0,0.1397,236.49255319148935,O3,5,0,0
176,193,5.1,168.0,0.1588,256.60851063829784,O3,5,0,0
177,194,5.1,176.0,0.1569,254.60744680851064,O3,5,0,0
178,195,3.2,135.0,0.1322,228.5936170212766,O3,5,0,0
179,196,2.1,121.0,0.1194,215.1127659574468,O3,5,0,0
180,197,1.7,99.0,0.1062,201.21063829787235,O3,5,0,0
181,198,2.0,106.0,0.104,197.42105263157896,O3,4,0,0
182,199,1.6,96.0,0.0917,165.70000000000002,O3,4,0,0
183,200,0.9,63.0,0.0594,65.37333333333333,O3,2,1,1
184,203,0.5,28.0,0.037,34.25925925925926,O3,1,1,1
185,204,0.7,61.0,0.0438,58.45652173913044,NO2,2,0,1
186,205,1.5,99.0,0.0704,98.93478260869566,NO2,2,0,1
187,206,4.8,157.0,0.1476,244.8127659574468,O3,5,0,0
188,207,6.2,166.0,0.1716,270.0893617021277,O3,5,0,0
189,208,4.0,149.0,0.1398,236.59787234042554,O3,5,0,0
190,209,3.3,135.0,0.1268,222.9063829787234,O3,5,0,0
191,210,2.8,127.0,0.1188,214.4808510638298,O3,5,0,0
192,211,3.0,122.0,0.1171,212.69042553191488,O3,5,0,0
193,212,3.3,135.0,0.125,221.01063829787233,O3,5,0,0
194,213,3.5,139.0,0.1344,230.91063829787234,O3,5,0,0
195,214,4.0,147.0,0.1378,234.49148936170212,O3,5,0,0
196,215,4.6,158.0,0.1435,240.49468085106383,O3,5,0,0
197,216,4.1,146.0,0.1372,233.8595744680851,O3,5,0,0
198,217,4.5,144.0,0.1471,244.28617021276597,O3,5,0,0
199,218,3.9,138.0,0.1439,240.9159574468085,O3,5,0,0
200,219,4.0,143.0,0.1429,239.8627659574468,O3,5,0,0
201,220,2.2,116.0,0.1081,203.21170212765958,O3,5,0,0
202,221,2.1,109.0,0.0993,185.3,O3,4,0,0
203,222,1.7,92.0,0.0837,145.44999999999996,O3,3,0,0
204,223,1.6,83.0,0.0761,118.85000000000001,O3,3,0,0
205,224,1.3,81.0,0.065,83.66666666666666,O3,2,1,1
206,227,0.8,53.0,0.0518,50.0,NO2,1,0,1
207,228,0.8,67.0,0.0571,64.84782608695653,NO2,2,1,1
208,229,1.1,91.0,0.0842,147.19999999999996,O3,3,0,0
209,230,2.1,113.0,0.1145,209.95212765957447,O3,5,0,0
210,231,2.4,102.0,0.1218,217.6404255319149,O3,5,0,0
211,232,2.6,107.0,0.1341,230.59468085106383,O3,5,0,0
212,233,2.8,113.0,0.1406,237.4404255319149,O3,5,0,0
213,234,2.6,108.0,0.1422,239.1255319148936,O3,5,0,0
214,235,2.6,105.0,0.1373,233.9648936170213,O3,5,0,0
215,236,2.1,93.0,0.1153,210.79468085106384,O3,5,0,0
216,237,1.7,87.0,0.0927,168.2789473684211,O3,4,0,0
217,238,1.6,76.0,0.0766,120.60000000000001,O3,3,0,0
218,239,2.1,94.0,0.0941,171.88947368421054,O3,4,0,0
219,240,2.3,110.0,0.1146,210.05744680851063,O3,5,0,0
220,241,3.5,136.0,0.1417,238.59893617021277,O3,5,0,0
221,242,3.9,139.0,0.1442,241.23191489361702,O3,5,0,0
222,243,3.3,125.0,0.1323,228.69893617021276,O3,5,0,0
223,244,2.3,111.0,0.1125,207.84574468085106,O3,5,0,0
224,245,2.1,97.0,0.1036,196.38947368421054,O3,4,0,0
225,246,2.8,107.0,0.1202,215.95531914893618,O3,5,0,0
226,247,2.1,90.0,0.1054,89.34782608695653,NO2,2,1,0
227,248,1.6,84.0,0.0903,162.08947368421056,O3,4,0,0
228,251,1.1,66.0,0.07,100.0,O3,2,0,0
229,252,0.7,36.0,0.058,60.800000000000004,O3,2,1,0
230,253,0.8,62.0,0.0815,137.75,O3,3,0,0
231,254,1.2,91.0,0.1035,196.1315789473684,O3,4,0,0
232,255,1.4,89.0,0.1067,201.7372340425532,O3,5,0,0
233,256,1.7,93.0,0.1114,206.6872340425532,O3,5,0,0
234,257,1.8,81.0,0.1,187.10526315789477,O3,4,0,0
235,258,1.8,82.0,0.0906,162.86315789473684,O3,4,0,0
236,259,1.9,80.0,0.0822,140.19999999999996,O3,3,0,0
237,260,1.3,48.0,0.061,70.6,O3,2,0,0
238,261,1.6,61.0,0.0657,85.95333333333329,O3,2,1,0
239,262,1.9,89.0,0.0647,88.28260869565219,NO2,2,1,0
240,263,2.3,105.0,0.0762,119.20000000000002,O3,3,0,0
241,264,3.8,116.0,0.1122,207.52978723404254,O3,5,0,0
242,265,3.5,119.0,0.113,208.37234042553192,O3,5,0,0
243,266,4.3,144.0,0.1637,261.7691489361702,O3,5,0,0
244,267,2.8,123.0,0.1272,223.3276595744681,O3,5,0,0
245,268,1.9,105.0,0.1098,205.00212765957446,O3,5,0,0
246,269,1.9,93.0,0.1066,201.63191489361702,O3,5,0,0
247,270,1.7,86.0,0.0909,163.63684210526316,O3,4,0,0
248,271,1.5,76.0,0.0818,138.79999999999998,O3,3,0,0
249,272,0.6,33.0,0.0472,43.7037037037037,O3,1,0,1
250,275,0.3,23.0,0.0378,35.0,O3,1,1,1
251,276,0.6,46.0,0.0432,43.39622641509434,NO2,1,1,1
252,277,1.2,76.0,0.0699,99.67333333333332,O3,2,1,1
253,278,3.6,116.0,0.1252,221.22127659574468,O3,5,0,0
254,279,3.7,115.0,0.1237,219.64148936170213,O3,5,0,0
255,280,1.8,83.0,0.0772,122.70000000000002,O3,3,0,0
256,281,1.6,87.0,0.0766,120.60000000000001,O3,3,0,0
257,282,1.9,90.0,0.0829,142.64999999999998,O3,3,0,0
258,283,2.0,87.0,0.0783,126.54999999999998,O3,3,0,0
259,284,2.2,99.0,0.0822,140.19999999999996,O3,3,0,0
260,285,2.1,99.0,0.0813,137.04999999999998,O3,3,0,0
261,286,2.3,101.0,0.0813,137.04999999999998,O3,3,0,0
262,287,2.6,103.0,0.085,150.0,O3,3,0,0
263,288,3.8,129.0,0.1276,223.74893617021274,O3,5,0,0
264,289,4.4,143.0,0.1401,236.91382978723405,O3,5,0,0
265,290,4.5,146.0,0.1356,232.17446808510638,O3,5,0,0
266,291,3.3,124.0,0.1243,220.27340425531915,O3,5,0,0
267,292,2.0,113.0,0.1083,203.4223404255319,O3,5,0,0
268,293,1.1,80.0,0.0795,130.75,O3,3,0,0
269,294,0.9,72.0,0.0735,109.75,O3,3,0,0
270,295,0.8,64.0,0.0684,94.77333333333331,O3,2,0,0
271,296,0.7,70.0,0.0714,102.40000000000003,O3,3,0,0
272,299,0.3,22.0,0.0361,33.42592592592593,O3,1,1,1
273,300,0.5,47.0,0.0418,44.339622641509436,NO2,1,1,1
274,301,1.1,88.0,0.0616,87.21739130434783,NO2,2,1,1
275,302,3.0,130.0,0.1089,204.05425531914892,O3,5,0,0
276,303,3.8,132.0,0.1329,229.33085106382978,O3,5,0,0
277,304,3.4,132.0,0.1311,227.43510638297872,O3,5,0,0
278,305,3.0,131.0,0.1236,219.53617021276597,O3,5,0,0
279,306,2.7,129.0,0.1147,210.1627659574468,O3,5,0,0
280,307,3.5,132.0,0.1301,226.38191489361702,O3,5,0,0
281,308,2.8,110.0,0.1097,204.8968085106383,O3,5,0,0
282,309,1.9,99.0,0.09,161.31578947368422,O3,4,0,0
283,310,2.0,100.0,0.0781,125.85000000000001,O3,3,0,0
284,311,3.0,122.0,0.1013,190.45789473684212,O3,4,0,0
285,312,1.9,97.0,0.079,129.0,O3,3,0,0
286,313,2.7,112.0,0.1059,103.08108108108108,NO2,3,0,0
287,314,3.3,128.0,0.1205,216.27127659574467,O3,5,0,0
288,315,1.7,101.0,0.0975,180.65789473684214,O3,4,0,0
289,316,1.3,96.0,0.0896,160.2842105263158,O3,4,0,0
290,317,1.3,86.0,0.0911,164.1526315789474,O3,4,0,0
291,318,1.2,85.0,0.0902,161.83157894736843,O3,4,0,0
292,319,1.1,79.0,0.0832,143.69999999999996,O3,3,0,0
293,320,0.9,61.0,0.0715,102.75,O3,3,0,0
294,323,0.6,54.0,0.0648,83.0133333333333,O3,2,0,0
295,324,0.8,57.0,0.0612,71.25333333333332,O3,2,0,0
296,325,1.2,75.0,0.08,132.5,O3,3,0,0
297,326,3.1,97.0,0.1173,212.90106382978723,O3,5,0,0
298,327,4.4,110.0,0.1519,249.34148936170214,O3,5,0,0
299,328,3.4,113.0,0.1287,224.90744680851066,O3,5,0,0
300,329,1.7,88.0,0.0966,178.33684210526317,O3,4,0,0
301,330,1.5,85.0,0.0828,142.29999999999998,O3,3,0,0
302,331,1.7,96.0,0.0825,141.25,O3,3,0,0
303,332,2.2,106.0,0.0872,154.09473684210528,O3,4,0,0
304,334,2.7,126.0,0.1002,187.62105263157895,O3,4,0,0
305,335,2.8,130.0,0.1159,211.42659574468087,O3,5,0,0
306,336,2.7,111.0,0.0979,181.68947368421055,O3,4,0,0
307,337,4.5,134.0,0.1311,227.43510638297872,O3,5,0,0
308,338,3.5,136.0,0.1071,202.15851063829788,O3,5,0,0
309,339,2.6,125.0,0.0899,161.05789473684212,O3,4,0,0
310,340,1.7,108.0,0.0766,120.60000000000001,O3,3,0,0
311,341,1.3,87.0,0.0589,86.15217391304348,NO2,2,1,1
312,342,1.3,89.0,0.0631,88.28260869565219,NO2,2,0,1
313,343,1.0,58.0,0.0479,55.26086956521739,NO2,2,1,1
314,344,0.7,54.0,0.0479,51.0,NO2,2,1,1
315,346,0.5,28.0,0.0378,35.0,O3,1,1,1
316,347,0.5,20.0,0.0344,31.851851851851855,O3,1,0,1
317,348,0.6,51.0,0.0413,48.113207547169814,NO2,1,1,1
318,349,1.1,82.0,0.0605,80.82608695652175,NO2,2,0,1
319,350,2.7,112.0,0.0991,184.78421052631577,O3,4,0,0
320,351,3.5,119.0,0.1175,213.11170212765956,O3,5,0,0
321,352,2.3,99.0,0.0923,167.2473684210526,O3,4,0,0
322,353,1.6,98.0,0.0829,142.64999999999998,O3,3,0,0
323,354,1.3,88.0,0.0733,109.05000000000003,O3,3,0,0
324,355,2.0,96.0,0.0819,139.14999999999998,O3,3,0,0
325,356,1.9,81.0,0.0723,105.55000000000003,O3,3,0,0
326,357,1.9,92.0,0.0786,127.60000000000001,O3,3,0,0
327,358,2.2,105.0,0.085,150.0,O3,3,0,0
328,359,2.0,88.0,0.082,139.5,O3,3,0,0
329,360,2.9,103.0,0.0991,184.78421052631577,O3,4,0,0
330,361,5.2,141.0,0.1454,242.49574468085106,O3,5,0,0
331,362,4.6,133.0,0.1488,246.07659574468084,O3,5,0,0
332,363,2.5,119.0,0.1205,216.27127659574467,O3,5,0,0
333,364,1.5,106.0,0.0909,163.63684210526316,O3,4,0,0
334,365,1.2,92.0,0.0769,121.64999999999999,O3,3,0,0
335,366,1.7,97.0,0.0835,144.75,O3,3,0,0
336,367,1.4,91.0,0.0793,130.04999999999998,O3,3,0,0
337,368,1.2,83.0,0.0733,109.05000000000003,O3,3,0,0
338,370,0.7,59.0,0.0562,56.32608695652174,NO2,2,0,0
339,371,0.8,73.0,0.0832,143.69999999999996,O3,3,0,0
340,372,0.9,78.0,0.0924,167.50526315789475,O3,4,0,0
341,373,1.6,90.0,0.0974,180.4,O3,4,0,0
342,374,3.4,110.0,0.1307,227.01382978723404,O3,5,0,0
343,375,3.8,114.0,0.1481,245.33936170212766,O3,5,0,0
344,376,3.1,119.0,0.1405,237.33510638297872,O3,5,0,0
345,377,2.7,121.0,0.1195,215.21808510638297,O3,5,0,0
346,378,2.0,97.0,0.0868,153.06315789473686,O3,4,0,0
347,379,2.3,99.0,0.0874,154.6105263157895,O3,4,0,0
348,380,1.9,85.0,0.0738,110.80000000000003,O3,3,0,0
349,381,1.3,75.0,0.055,73.36956521739131,NO2,2,1,0
350,382,1.9,87.0,0.0777,124.45000000000002,O3,3,0,0
351,383,2.3,102.0,0.0966,178.33684210526317,O3,4,0,0
352,384,2.4,105.0,0.099,184.5263157894737,O3,4,0,0
353,385,2.7,98.0,0.0944,172.66315789473686,O3,4,0,0
354,386,2.6,93.0,0.0962,177.30526315789473,O3,4,0,0
355,387,1.5,91.0,0.0778,124.79999999999998,O3,3,0,0
356,388,1.2,85.0,0.069,96.73333333333332,O3,2,0,0
357,389,1.1,74.0,0.0644,81.70666666666665,O3,2,0,0
358,390,1.5,87.0,0.0753,116.05000000000003,O3,3,0,0
359,391,1.0,79.0,0.0646,82.36,O3,2,1,0
360,392,1.2,78.0,0.0838,145.79999999999998,O3,3,0,0
361,395,0.8,48.0,0.0665,88.56666666666666,O3,2,1,0
362,396,0.9,59.0,0.0717,103.45000000000002,O3,3,0,0
363,397,1.1,65.0,0.0795,130.75,O3,3,0,0
364,398,1.5,71.0,0.0936,170.60000000000002,O3,4,0,0
365,399,1.8,84.0,0.1076,202.68510638297872,O3,5,0,0
366,400,2.1,93.0,0.1016,191.2315789473684,O3,4,0,0
367,401,2.1,99.0,0.0834,144.39999999999998,O3,3,0,0
368,402,1.9,93.0,0.0756,117.10000000000001,O3,3,0,0
369,403,2.1,96.0,0.0766,120.60000000000001,O3,3,0,0
370,404,2.5,114.0,0.0905,162.60526315789474,O3,4,0,0
371,405,1.9,101.0,0.0765,120.25,O3,3,0,0
372,406,2.2,108.0,0.083,143.0,O3,3,0,0
373,407,2.3,117.0,0.0853,104.02702702702703,NO2,3,0,0
374,408,2.7,125.0,0.0981,182.20526315789476,O3,4,0,0
375,409,3.0,133.0,0.1286,224.80212765957447,O3,5,0,0
376,410,2.8,119.0,0.1244,220.3787234042553,O3,5,0,0
377,411,2.2,107.0,0.1056,102.13513513513513,NO2,3,0,0
378,412,1.6,96.0,0.1003,187.87894736842105,O3,4,0,0
379,413,2.1,105.0,0.1245,220.4840425531915,O3,5,0,0
380,414,2.3,102.0,0.12,215.74468085106383,O3,5,0,0
381,415,2.3,97.0,0.1188,214.4808510638298,O3,5,0,0
382,416,1.7,79.0,0.107,202.0531914893617,O3,5,0,0
383,418,1.3,69.0,0.0895,160.0263157894737,O3,4,0,0
384,419,0.8,52.0,0.0755,116.75,O3,3,0,0
385,420,1.1,62.0,0.0806,134.60000000000002,O3,3,0,0
386,421,1.4,69.0,0.0836,145.09999999999997,O3,3,0,0
387,422,1.3,75.0,0.0897,160.5421052631579,O3,4,0,0
388,423,1.9,83.0,0.1073,202.36914893617023,O3,5,0,0
389,424,2.3,94.0,0.1088,203.94893617021276,O3,5,0,0
390,425,2.3,96.0,0.1036,196.38947368421054,O3,4,0,0
391,426,1.8,86.0,0.0768,121.29999999999998,O3,3,0,0
392,427,1.4,72.0,0.0587,70.17391304347827,NO2,2,1,1
393,428,1.0,53.0,0.0452,50.0,NO2,1,1,1
394,429,1.4,65.0,0.047,62.71739130434783,NO2,2,0,1
395,430,1.3,70.0,0.0502,68.04347826086956,NO2,2,1,1
396,431,1.3,75.0,0.0516,73.36956521739131,NO2,2,1,1
397,432,1.4,86.0,0.0555,85.08695652173913,NO2,2,1,1
398,433,1.9,94.0,0.0671,93.6086956521739,NO2,2,1,1
399,434,1.8,103.0,0.0788,128.29999999999998,O3,3,0,0
400,435,1.1,81.0,0.0538,79.76086956521739,NO2,2,1,1
401,436,1.1,80.0,0.0544,78.69565217391305,NO2,2,1,1
402,437,1.1,77.0,0.05,75.5,NO2,2,1,1
403,438,0.9,58.0,0.0417,55.26086956521739,NO2,2,1,1
404,439,0.6,31.0,0.0341,31.574074074074076,O3,1,1,1
405,440,0.5,38.0,0.0352,35.84905660377358,NO2,1,1,1
406,442,0.6,59.0,0.0502,56.32608695652174,NO2,2,1,1
407,443,0.7,70.0,0.0648,83.0133333333333,O3,2,0,1
408,444,0.9,75.0,0.076,118.5,O3,3,0,0
409,445,2.9,103.0,0.1183,213.95425531914893,O3,5,0,0
410,446,4.1,134.0,0.1431,240.07340425531916,O3,5,0,0
411,447,1.5,98.0,0.0705,97.86956521739131,NO2,2,0,0
412,448,1.5,97.0,0.0637,96.80434782608697,NO2,2,1,0
